"Tabla","Campo / Atributo","Tipo","Tamaño","Puede ser Nulo","Restricción","Relación"
"actor","actor_id","integer","-","NO","PRIMARY KEY","Referenciado en: actor(actor_id)"
"actor","first_name","character varying","45","NO","Sin restricción","Sin relación"
"actor","last_name","character varying","45","NO","Sin restricción","Sin relación"
"actor","last_update","timestamp without time zone","-","NO","Sin restricción","Sin relación"
"actor_info","actor_id","integer","-","YES","Sin restricción","Sin relación"
"actor_info","first_name","character varying","45","YES","Sin restricción","Sin relación"
"actor_info","last_name","character varying","45","YES","Sin restricción","Sin relación"
"actor_info","film_info","text","-","YES","Sin restricción","Sin relación"
"address","address_id","integer","-","NO","PRIMARY KEY","Referenciado en: address(address_id)"
"address","address","character varying","50","NO","Sin restricción","Sin relación"
"address","address2","character varying","50","YES","Sin restricción","Sin relación"
"address","district","character varying","20","NO","Sin restricción","Sin relación"
"address","city_id","smallint","-","NO","FOREIGN KEY","Referenciado en: city(city_id)"
"address","postal_code","character varying","10","YES","Sin restricción","Sin relación"
"address","phone","character varying","20","NO","Sin restricción","Sin relación"
"address","last_update","timestamp without time zone","-","NO","Sin restricción","Sin relación"
"category","category_id","integer","-","NO","PRIMARY KEY","Referenciado en: category(category_id)"
"category","name","character varying","25","NO","Sin restricción","Sin relación"
"category","last_update","timestamp without time zone","-","NO","Sin restricción","Sin relación"
"city","city_id","integer","-","NO","PRIMARY KEY","Referenciado en: city(city_id)"
"city","city","character varying","50","NO","Sin restricción","Sin relación"
"city","country_id","smallint","-","NO","FOREIGN KEY","Referenciado en: country(country_id)"
"city","last_update","timestamp without time zone","-","NO","Sin restricción","Sin relación"
"country","country_id","integer","-","NO","PRIMARY KEY","Referenciado en: country(country_id)"
"country","country","character varying","50","NO","Sin restricción","Sin relación"
"country","last_update","timestamp without time zone","-","NO","Sin restricción","Sin relación"
"customer","customer_id","integer","-","NO","PRIMARY KEY","Referenciado en: customer(customer_id)"
"customer","store_id","smallint","-","NO","Sin restricción","Sin relación"
"customer","first_name","character varying","45","NO","Sin restricción","Sin relación"
"customer","last_name","character varying","45","NO","Sin restricción","Sin relación"
"customer","email","character varying","50","YES","Sin restricción","Sin relación"
"customer","address_id","smallint","-","NO","FOREIGN KEY","Referenciado en: address(address_id)"
"customer","activebool","boolean","-","NO","Sin restricción","Sin relación"
"customer","create_date","date","-","NO","Sin restricción","Sin relación"
"customer","last_update","timestamp without time zone","-","YES","Sin restricción","Sin relación"
"customer","active","integer","-","YES","Sin restricción","Sin relación"
"customer_list","id","integer","-","YES","Sin restricción","Sin relación"
"customer_list","name","text","-","YES","Sin restricción","Sin relación"
"customer_list","address","character varying","50","YES","Sin restricción","Sin relación"
"customer_list","zip code","character varying","10","YES","Sin restricción","Sin relación"
"customer_list","phone","character varying","20","YES","Sin restricción","Sin relación"
"customer_list","city","character varying","50","YES","Sin restricción","Sin relación"
"customer_list","country","character varying","50","YES","Sin restricción","Sin relación"
"customer_list","notes","text","-","YES","Sin restricción","Sin relación"
"customer_list","sid","smallint","-","YES","Sin restricción","Sin relación"
"film","film_id","integer","-","NO","PRIMARY KEY","Referenciado en: film(film_id)"
"film","title","character varying","255","NO","Sin restricción","Sin relación"
"film","description","text","-","YES","Sin restricción","Sin relación"
"film","release_year","integer","-","YES","Sin restricción","Sin relación"
"film","language_id","smallint","-","NO","FOREIGN KEY","Referenciado en: language(language_id)"
"film","rental_duration","smallint","-","NO","Sin restricción","Sin relación"
"film","rental_rate","numeric","-","NO","Sin restricción","Sin relación"
"film","length","smallint","-","YES","Sin restricción","Sin relación"
"film","replacement_cost","numeric","-","NO","Sin restricción","Sin relación"
"film","rating","USER-DEFINED","-","YES","Sin restricción","Sin relación"
"film","last_update","timestamp without time zone","-","NO","Sin restricción","Sin relación"
"film","special_features","ARRAY","-","YES","Sin restricción","Sin relación"
"film","fulltext","tsvector","-","NO","Sin restricción","Sin relación"
"film_actor","actor_id","smallint","-","NO","FOREIGN KEY","Referenciado en: film_actor(actor_id)"
"film_actor","actor_id","smallint","-","NO","PRIMARY KEY","Referenciado en: film_actor(actor_id)"
"film_actor","actor_id","smallint","-","NO","PRIMARY KEY","Referenciado en: film_actor(film_id)"
